open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,3281.43,3294.88,3271.90,3292.42,25679.931,1648772099999,84362101.24855,26883,14318.299,47044387.81508,0
1648772100000,3292.38,3297.97,3284.91,3294.24,11444.766,1648772999999,37673762.19230,15156,6222.663,20488632.17614,0
1648773000000,3294.25,3304.48,3278.86,3303.70,19107.196,1648773899999,62889653.46550,22145,11014.243,36261967.17701,0
1648773900000,3303.70,3307.59,3294.87,3299.19,13124.351,1648774799999,43324205.39630,18063,5445.485,17977716.16733,0
1648774800000,3299.19,3299.19,3286.81,3291.18,10868.185,1648775699999,35772326.12207,16235,5376.891,17697463.54647,0
1648775700000,3290.97,3299.02,3278.23,3280.31,15695.692,1648776599999,51601538.13938,18819,6336.285,20835379.79588,0
1648776600000,3280.31,3289.80,3278.43,3280.79,15898.109,1648777499999,52198499.45728,20610,7844.518,25757899.19130,0
1648777500000,3280.79,3281.20,3241.00,3256.11,53573.989,1648778399999,174790220.96397,45708,17869.982,58296641.97047,0
1648778400000,3256.12,3260.00,3242.78,3256.00,34753.709,1648779299999,113007698.82944,35443,15339.676,49896904.36710,0
1648779300000,3255.99,3261.69,3221.20,3237.51,60571.649,1648780199999,196002817.01139,55987,26776.245,86642196.36065,0
1648780200000,3237.51,3246.73,3228.11,3245.29,23239.838,1648781099999,75252790.63832,31206,13430.582,43494808.14500,0
1648781100000,3245.30,3245.57,3210.06,3225.42,38434.806,1648781999999,123900879.57419,45582,16915.679,54532413.69325,0
1648782000000,3225.41,3236.11,3218.90,3225.38,27159.785,1648782899999,87682763.70547,33670,14707.074,47488335.09911,0
1648782900000,3225.38,3236.58,3222.89,3229.60,13750.624,1648783799999,44418734.65931,19107,8213.228,26533170.20879,0
1648783800000,3229.59,3244.95,3228.82,3240.97,15165.575,1648784699999,49117512.21124,19660,9174.476,29714723.67992,0
1648784700000,3240.98,3249.99,3237.28,3249.72,15815.924,1648785599999,51282954.44560,17518,8552.153,27738086.14203,0
1648785600000,3249.73,3257.20,3245.73,3253.24,16092.429,1648786499999,52344402.84467,21419,8718.021,28358522.61823,0
1648786500000,3253.25,3257.38,3249.68,3254.64,9005.040,1648787399999,29307704.27862,13918,4328.972,14089936.69361,0
1648787400000,3254.64,3257.83,3248.65,3253.46,10299.314,1648788299999,33510485.68460,13557,4602.013,14977046.35520,0
1648788300000,3253.46,3255.71,3246.19,3246.68,7300.318,1648789199999,23722875.81610,11535,2848.936,9258459.20297,0
