open,high,low,close
129.12,129.12,128.65,128.87
128.88,128.99,128.66,128.75
128.74,128.98,128.74,128.82
128.83,128.92,128.62,128.82
128.81,129.19,128.76,129.12
129.09,130.5,129.05,130.22
130.22,130.61,130.12,130.24
130.24,130.57,129.78,130.57
130.58,130.97,130.3,130.41
130.4,130.88,130.37,130.72
130.73,130.88,130.55,130.67
130.66,130.84,130.6,130.8
130.8,130.82,130.02,130.15
130.15,130.45,130.13,130.39
130.38,130.4,130.02,130.02
130.02,130.28,129.88,130.09
130.1,130.4,130.09,130.16
130.15,130.28,130.1,130.11
130.11,130.63,130.11,130.43
130.43,130.52,130.12,130.15
130.15,130.36,130.08,130.14
130.16,130.32,130.05,130.26
130.25,130.28,130.2,130.25
130.28,130.37,130.2,130.23
130.23,130.57,130.22,130.41
130.41,130.67,130.37,130.65
130.65,130.67,130.53,130.58
130.57,130.57,130.21,130.36
130.36,130.46,130.29,130.44
130.44,130.59,130.36,130.51
130.53,130.6,130.0,130.08
130.08,130.26,130.07,130.17
130.15,130.19,129.96,130.02
129.98,130.08,129.75,129.96
129.96,130.06,129.83,129.85
129.85,130.24,129.78,130.24
130.24,130.49,130.15,130.19
130.18,130.3,130.14,130.23
130.23,130.34,130.22,130.27
130.27,130.27,130.01,130.03
130.02,130.42,129.97,130.4
130.42,130.46,130.24,130.45
130.46,130.68,130.37,130.66
130.67,130.68,130.52,130.59
130.59,130.73,130.53,130.65
130.65,131.88,130.61,131.64
131.6,131.7,131.26,131.52
131.52,131.58,130.5,130.64
130.63,131.04,130.63,130.87
130.85,131.19,130.83,130.9
130.91,131.23,130.87,131.17
131.16,131.58,131.07,131.53
131.57,131.97,131.36,131.45
131.45,131.45,131.18,131.35
131.34,131.63,131.34,131.59
131.6,131.78,131.47,131.55
131.55,131.58,131.16,131.51
131.5,132.15,131.5,132.1
132.1,132.24,131.73,131.98
131.98,131.98,131.7,131.82
131.87,132.1,131.81,131.9
131.88,131.9,131.52,131.62
131.62,132.49,131.57,131.92
131.92,132.07,131.63,131.97
132.0,132.3,131.74,132.13
132.13,132.13,131.71,131.97
131.94,132.31,131.9,132.26
132.26,132.9,132.2,132.79
132.8,132.96,132.36,132.53
132.58,132.86,132.31,132.67
132.66,132.67,132.22,132.25
132.27,132.45,132.23,132.31
132.31,132.38,132.01,132.29
132.29,132.36,131.59,131.69
131.74,131.87,131.45,131.87
131.88,132.01,131.62,131.94
131.94,131.94,131.54,131.75
131.76,131.89,131.53,131.66
131.66,132.04,131.66,131.74
131.73,131.92,131.73,131.79
131.79,131.89,131.69,131.79
131.78,132.18,131.6,132.09
132.09,132.1,131.81,131.99
132.0,132.14,131.91,132.09
132.09,132.18,131.9,132.01
132.01,132.25,131.92,131.98
132.0,132.07,131.57,131.89
131.89,132.12,131.62,131.77
131.77,131.77,130.13,130.59
130.59,130.66,130.27,130.32
130.29,130.29,129.8,129.98
129.98,130.46,129.84,130.21
130.21,130.21,129.54,129.85
129.85,130.45,129.84,130.41
130.39,130.48,130.11,130.42
130.44,130.78,130.41,130.62
130.63,130.63,130.2,130.29
130.27,130.39,130.2,130.32
130.32,130.6,130.3,130.6
130.63,130.75,130.42,130.6
130.61,130.61,130.32,130.35
130.36,130.51,130.36,130.41
130.41,130.42,130.11,130.17
130.17,130.23,130.09,130.17
130.13,130.13,129.48,129.64
129.67,129.77,128.86,129.37
129.35,129.69,129.09,129.66
129.65,129.8,129.49,129.7
129.7,129.7,129.35,129.48
129.49,129.49,129.15,129.27
129.3,129.33,129.0,129.04
129.02,129.16,128.75,129.09
129.07,129.52,128.67,129.38
129.4,129.73,129.4,129.54
129.52,129.83,129.4,129.65
129.63,129.72,129.49,129.55
129.54,129.62,129.32,129.4
